"","Date","Value"
"700",2019-03-21,4029.11
"701",2019-03-20,3998.77
"702",2019-03-19,3994.92
"703",2019-03-18,4015.95
"704",2019-03-17,3936.5
"705",2019-03-16,3885.21
"706",2019-03-15,3877.77
"707",2019-03-14,3892.51
"708",2019-03-13,3881.09
"709",2019-03-12,3928.17
"710",2019-03-11,3950.56
"711",2019-03-10,3875.96
"712",2019-03-09,3886.82
"713",2019-03-08,3876.85
"714",2019-03-07,3872.25
"715",2019-03-06,3730.98
"716",2019-03-05,3814.58
"717",2019-03-04,3831.44
"718",2019-03-03,3834.62
"719",2019-03-02,3850.08
"720",2019-03-01,3833.23
"721",2019-02-28,3831.45
"722",2019-02-27,3848.33
"723",2019-02-26,3766.89
"724",2019-02-25,4139.6
"725",2019-02-24,3983.48
"726",2019-02-23,3944.88
"727",2019-02-22,3987.18
"728",2019-02-21,3926.53
"729",2019-02-20,3910.8
"730",2019-02-19,3670.74
"731",2019-02-18,3619.55
"732",2019-02-17,3608.2
"733",2019-02-16,3600.31
"734",2019-02-15,3614.5
"735",2019-02-14,3632.42
"736",2019-02-13,3629.47
"737",2019-02-12,3686.29
"738",2019-02-11,3664.38
"739",2019-02-10,3661.08
"740",2019-02-09,3394.76
"741",2019-02-08,3405.7
"742",2019-02-07,3467.34
"743",2019-02-06,3452.35
"744",2019-02-05,3456.02
"745",2019-02-04,3506.22
"746",2019-02-03,3475.33
"747",2019-02-02,3444.81
"748",2019-02-01,3470
"749",2019-01-31,3421.6
"750",2019-01-30,3448.58
"751",2019-01-29,3554.5
"752",2019-01-28,3576.3
"753",2019-01-27,3577.79
"754",2019-01-26,3586.25
"755",2019-01-25,3566.4
"756",2019-01-24,3587.35
"757",2019-01-23,3540.02
"758",2019-01-22,3548.4275
"759",2019-01-21,3620.1275
"760",2019-01-20,3690.52333333
"761",2019-01-19,3632.395
"762",2019-01-18,3619.96416667
"763",2019-01-17,3621.27083333
"764",2019-01-16,3656.785
"765",2019-01-15,3604.1175
"766",2019-01-14,3599.84166667
"767",2019-01-13,3646.34583333
"768",2019-01-12,3656.73583333
"769",2019-01-11,3812.58583333
"770",2019-01-10,4034.13833333
"771",2019-01-09,4035.855
"772",2019-01-08,4036.09333333
"773",2019-01-07,3920.45666667
"774",2019-01-06,3868.4875
"775",2019-01-05,3822.62666667
