Time,bitfinex,bitflyer,bithumb,bitstamp,btcchina,coinbase,huobi,kraken,okcoin,others
2018-10-17 00:00:00 UTC,8880.07105813999,3928.44322382,29484.48821794,3853.04306903,,6534.42094925999,,4854.56575095,,30115.363646755297
2018-10-18 00:00:00 UTC,12537.27772909,3760.06514075,33808.82733715,4981.77526783,,7709.82481770999,,4169.50226363,,35271.48096766207
2018-10-19 00:00:00 UTC,11238.91666536,3035.81773564,45697.87512889,3219.14756565,,4463.22690505,,3651.92084296,,30857.943722157914
2018-10-20 00:00:00 UTC,4647.7118996,1349.70583779,39568.78281197,1541.6230005,,3831.87363133,,1724.7827138,,28747.745570833587
2018-10-21 00:00:00 UTC,4419.45039848,1362.69709391,40649.84536304,1901.17044337,,3072.61723487,,2088.87311775,,25083.34674827935
2018-10-22 00:00:00 UTC,6069.44687775,2363.42245041,51495.23674665,3676.00207291,,4781.39203175,,3488.86639811,,30113.888231611483
2018-10-23 00:00:00 UTC,8863.40655572,3603.84581994999,71811.0156004101,3773.51694624,,4922.60116284999,,4739.95354705,,31833.371640966412
2018-10-24 00:00:00 UTC,8516.07954964999,2802.96808123,65707.04365081,4482.67940649,,6055.08026773999,,4262.42093135,,31791.26165529014
2018-10-25 00:00:00 UTC,8711.06974547001,2847.31319892,76795.0017257601,4013.8424992,,4462.47484946,,3679.49835557,,31963.912649501784
2018-10-26 00:00:00 UTC,7421.79754528,3802.50143669,57418.40327811,4084.32934242,,4752.99238841999,,3647.04665416,,31932.413069127884
2018-10-27 00:00:00 UTC,6968.96636220999,717.2200818,66233.81003547,1141.49816949,,2763.99585826,,1490.02795977,,23476.073621515872
2018-10-28 00:00:00 UTC,6842.22430063999,1196.61125151,38967.84318706,1248.10328249,,2531.49521143,,1603.78015313,,25840.626455731257
2018-10-29 00:00:00 UTC,19526.0223553901,7102.99277167996,73266.38151509,6747.21154236,,7335.65473249998,,7527.85439155999,,37024.93184105857
2018-10-30 00:00:00 UTC,10739.39610732,3077.71510755,65341.99493674,3443.4756194,,4967.49389327,,6888.54225686,,32621.971108127545
2018-10-31 00:00:00 UTC,9958.94337692001,3639.98174741999,81715.00700931,5870.48774746,,6094.72212690999,,5321.22830789,,33612.64857747458
2018-11-01 00:00:00 UTC,9158.672038,2724.2483859,92261.74587238,2545.40656638,,5339.71120696,,3909.9680763,,32617.50361984277
2018-11-02 00:00:00 UTC,8074.28168126,2331.15860135,88493.2440538701,3776.50795046,,5027.54120833,,4213.56899645,,30070.426576712453
2018-11-03 00:00:00 UTC,11436.6978470101,772.64966344,74181.4760454301,1361.93656052,,2962.22947472,,1927.55086839,,28444.328085631565
2018-11-04 00:00:00 UTC,8994.85301361,2221.84453303,90263.19465907,3280.52675315,,4519.00268165,,3794.17049509,,25917.54490672877
2018-11-05 00:00:00 UTC,4814.23622792,2290.98741928,129538.94390632,2955.2097073,,5007.40618011001,,3417.22218376,,32270.166039202522
